areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020-11-08,991,1213363
overview,United Kingdom,K02000001,2020-11-07,11802,1212372
overview,United Kingdom,K02000001,2020-11-06,19057,1200570
overview,United Kingdom,K02000001,2020-11-05,23040,1181513
overview,United Kingdom,K02000001,2020-11-04,23208,1158473
overview,United Kingdom,K02000001,2020-11-03,25310,1135265
overview,United Kingdom,K02000001,2020-11-02,31110,1109955
overview,United Kingdom,K02000001,2020-11-01,15737,1078845
overview,United Kingdom,K02000001,2020-10-31,16477,1063108
overview,United Kingdom,K02000001,2020-10-30,22679,1046631
overview,United Kingdom,K02000001,2020-10-29,23325,1023952
overview,United Kingdom,K02000001,2020-10-28,23625,1000627
overview,United Kingdom,K02000001,2020-10-27,24120,977002
overview,United Kingdom,K02000001,2020-10-26,26544,952882
overview,United Kingdom,K02000001,2020-10-25,15732,926338
overview,United Kingdom,K02000001,2020-10-24,16257,910606
overview,United Kingdom,K02000001,2020-10-23,21472,894349
overview,United Kingdom,K02000001,2020-10-22,23237,872877
overview,United Kingdom,K02000001,2020-10-21,25440,849640
overview,United Kingdom,K02000001,2020-10-20,25313,824200
overview,United Kingdom,K02000001,2020-10-19,25599,798887
overview,United Kingdom,K02000001,2020-10-18,14182,773288
overview,United Kingdom,K02000001,2020-10-17,14768,759106
overview,United Kingdom,K02000001,2020-10-16,17706,744338
overview,United Kingdom,K02000001,2020-10-15,18431,726632
overview,United Kingdom,K02000001,2020-10-14,19693,708201
overview,United Kingdom,K02000001,2020-10-13,18893,688508
overview,United Kingdom,K02000001,2020-10-12,19439,669615
overview,United Kingdom,K02000001,2020-10-11,12068,650176
overview,United Kingdom,K02000001,2020-10-10,12514,638108
overview,United Kingdom,K02000001,2020-10-09,15724,625594
overview,United Kingdom,K02000001,2020-10-08,18242,609870
overview,United Kingdom,K02000001,2020-10-07,18323,591628
overview,United Kingdom,K02000001,2020-10-06,17056,573305
overview,United Kingdom,K02000001,2020-10-05,16550,556249
overview,United Kingdom,K02000001,2020-10-04,11785,539699
overview,United Kingdom,K02000001,2020-10-03,11553,527914
overview,United Kingdom,K02000001,2020-10-02,13680,516361
overview,United Kingdom,K02000001,2020-10-01,13176,502681
overview,United Kingdom,K02000001,2020-09-30,12546,489505
overview,United Kingdom,K02000001,2020-09-29,10246,476959
overview,United Kingdom,K02000001,2020-09-28,9923,466713
overview,United Kingdom,K02000001,2020-09-27,6975,456790
overview,United Kingdom,K02000001,2020-09-26,6753,449815
overview,United Kingdom,K02000001,2020-09-25,7246,443062
overview,United Kingdom,K02000001,2020-09-24,7613,435816
overview,United Kingdom,K02000001,2020-09-23,7056,428203
overview,United Kingdom,K02000001,2020-09-22,6417,421147
overview,United Kingdom,K02000001,2020-09-21,5595,414730
overview,United Kingdom,K02000001,2020-09-20,5317,409135
overview,United Kingdom,K02000001,2020-09-19,4863,403818
overview,United Kingdom,K02000001,2020-09-18,4963,398955
overview,United Kingdom,K02000001,2020-09-17,4629,393992
overview,United Kingdom,K02000001,2020-09-16,4367,389363
overview,United Kingdom,K02000001,2020-09-15,3558,384996
overview,United Kingdom,K02000001,2020-09-14,3392,381438
overview,United Kingdom,K02000001,2020-09-13,2144,378046
overview,United Kingdom,K02000001,2020-09-12,2672,375902
overview,United Kingdom,K02000001,2020-09-11,3288,373230
overview,United Kingdom,K02000001,2020-09-10,3597,369942
overview,United Kingdom,K02000001,2020-09-09,3330,366345
overview,United Kingdom,K02000001,2020-09-08,3301,363015
overview,United Kingdom,K02000001,2020-09-07,3863,359714
overview,United Kingdom,K02000001,2020-09-06,2447,355851
overview,United Kingdom,K02000001,2020-09-05,2546,353404
overview,United Kingdom,K02000001,2020-09-04,3038,350858
overview,United Kingdom,K02000001,2020-09-03,3100,347820
overview,United Kingdom,K02000001,2020-09-02,2995,344720
overview,United Kingdom,K02000001,2020-09-01,2251,341725
overview,United Kingdom,K02000001,2020-08-31,1503,339474
overview,United Kingdom,K02000001,2020-08-30,1163,337971
overview,United Kingdom,K02000001,2020-08-29,1227,336808
overview,United Kingdom,K02000001,2020-08-28,1628,335581
overview,United Kingdom,K02000001,2020-08-27,1562,333953
overview,United Kingdom,K02000001,2020-08-26,1353,332391
overview,United Kingdom,K02000001,2020-08-25,1247,331038
overview,United Kingdom,K02000001,2020-08-24,1222,329791
overview,United Kingdom,K02000001,2020-08-23,824,328569
overview,United Kingdom,K02000001,2020-08-22,826,327745
overview,United Kingdom,K02000001,2020-08-21,1197,326919
overview,United Kingdom,K02000001,2020-08-20,1463,325722
overview,United Kingdom,K02000001,2020-08-19,1241,324259
overview,United Kingdom,K02000001,2020-08-18,1083,323018
overview,United Kingdom,K02000001,2020-08-17,1284,321935
overview,United Kingdom,K02000001,2020-08-16,599,320651
overview,United Kingdom,K02000001,2020-08-15,697,320052
overview,United Kingdom,K02000001,2020-08-14,1167,319355
overview,United Kingdom,K02000001,2020-08-13,1145,318188
overview,United Kingdom,K02000001,2020-08-12,1205,317043
overview,United Kingdom,K02000001,2020-08-11,1341,315838
overview,United Kingdom,K02000001,2020-08-10,1472,314497
overview,United Kingdom,K02000001,2020-08-09,616,313025
overview,United Kingdom,K02000001,2020-08-08,696,312409
overview,United Kingdom,K02000001,2020-08-07,942,311713
overview,United Kingdom,K02000001,2020-08-06,1082,310771
overview,United Kingdom,K02000001,2020-08-05,1059,309689
overview,United Kingdom,K02000001,2020-08-04,1019,308630
overview,United Kingdom,K02000001,2020-08-03,1042,307611
overview,United Kingdom,K02000001,2020-08-02,554,306569
overview,United Kingdom,K02000001,2020-08-01,542,306015
overview,United Kingdom,K02000001,2020-07-31,674,305473
overview,United Kingdom,K02000001,2020-07-30,923,304799
overview,United Kingdom,K02000001,2020-07-29,1039,303876
overview,United Kingdom,K02000001,2020-07-28,842,302837
overview,United Kingdom,K02000001,2020-07-27,857,301995
overview,United Kingdom,K02000001,2020-07-26,558,301138
overview,United Kingdom,K02000001,2020-07-25,523,300580
overview,United Kingdom,K02000001,2020-07-24,769,300057
overview,United Kingdom,K02000001,2020-07-23,798,299288
overview,United Kingdom,K02000001,2020-07-22,799,298490
overview,United Kingdom,K02000001,2020-07-21,783,297691
overview,United Kingdom,K02000001,2020-07-20,811,296908
overview,United Kingdom,K02000001,2020-07-19,443,296097
overview,United Kingdom,K02000001,2020-07-18,497,295654
overview,United Kingdom,K02000001,2020-07-17,579,295157
overview,United Kingdom,K02000001,2020-07-16,705,294578
overview,United Kingdom,K02000001,2020-07-15,772,293873
overview,United Kingdom,K02000001,2020-07-14,690,293101
overview,United Kingdom,K02000001,2020-07-13,732,292411
overview,United Kingdom,K02000001,2020-07-12,367,291679
overview,United Kingdom,K02000001,2020-07-11,449,291312
overview,United Kingdom,K02000001,2020-07-10,565,290863
overview,United Kingdom,K02000001,2020-07-09,715,290298
overview,United Kingdom,K02000001,2020-07-08,703,289583
overview,United Kingdom,K02000001,2020-07-07,602,288880
overview,United Kingdom,K02000001,2020-07-06,707,288278
overview,United Kingdom,K02000001,2020-07-05,555,287571
overview,United Kingdom,K02000001,2020-07-04,399,287016
overview,United Kingdom,K02000001,2020-07-03,568,286617
overview,United Kingdom,K02000001,2020-07-02,604,286049
overview,United Kingdom,K02000001,2020-07-01,646,285445
overview,United Kingdom,K02000001,2020-06-30,615,284799
overview,United Kingdom,K02000001,2020-06-29,727,284184
overview,United Kingdom,K02000001,2020-06-28,447,283457
overview,United Kingdom,K02000001,2020-06-27,651,283010
overview,United Kingdom,K02000001,2020-06-26,673,282359
overview,United Kingdom,K02000001,2020-06-25,721,281686
overview,United Kingdom,K02000001,2020-06-24,776,280965
overview,United Kingdom,K02000001,2020-06-23,886,280189
overview,United Kingdom,K02000001,2020-06-22,895,279303
overview,United Kingdom,K02000001,2020-06-21,639,278408
overview,United Kingdom,K02000001,2020-06-20,686,277769
overview,United Kingdom,K02000001,2020-06-19,988,277083
overview,United Kingdom,K02000001,2020-06-18,1027,276095
overview,United Kingdom,K02000001,2020-06-17,1014,275068
overview,United Kingdom,K02000001,2020-06-16,1101,274054
overview,United Kingdom,K02000001,2020-06-15,1044,272953
overview,United Kingdom,K02000001,2020-06-14,820,271909
overview,United Kingdom,K02000001,2020-06-13,888,271089
overview,United Kingdom,K02000001,2020-06-12,1050,270201
overview,United Kingdom,K02000001,2020-06-11,1014,269151
overview,United Kingdom,K02000001,2020-06-10,1193,268137
overview,United Kingdom,K02000001,2020-06-09,1157,266944
overview,United Kingdom,K02000001,2020-06-08,1094,265787
overview,United Kingdom,K02000001,2020-06-07,719,264693
overview,United Kingdom,K02000001,2020-06-06,804,263974
overview,United Kingdom,K02000001,2020-06-05,1121,263170
overview,United Kingdom,K02000001,2020-06-04,1249,262049
overview,United Kingdom,K02000001,2020-06-03,1364,260800
overview,United Kingdom,K02000001,2020-06-02,1490,259436
overview,United Kingdom,K02000001,2020-06-01,1437,257946
overview,United Kingdom,K02000001,2020-05-31,1080,256509
overview,United Kingdom,K02000001,2020-05-30,1123,255429
overview,United Kingdom,K02000001,2020-05-29,1524,254306
overview,United Kingdom,K02000001,2020-05-28,1755,252782
overview,United Kingdom,K02000001,2020-05-27,1830,251027
overview,United Kingdom,K02000001,2020-05-26,1666,249197
overview,United Kingdom,K02000001,2020-05-25,1621,247531
overview,United Kingdom,K02000001,2020-05-24,1365,245910
overview,United Kingdom,K02000001,2020-05-23,1527,244545
overview,United Kingdom,K02000001,2020-05-22,2059,243018
overview,United Kingdom,K02000001,2020-05-21,2574,240959
overview,United Kingdom,K02000001,2020-05-20,2717,238385
overview,United Kingdom,K02000001,2020-05-19,3056,235668
overview,United Kingdom,K02000001,2020-05-18,2587,232612
overview,United Kingdom,K02000001,2020-05-17,1837,230025
overview,United Kingdom,K02000001,2020-05-16,2081,228188
overview,United Kingdom,K02000001,2020-05-15,2528,226107
overview,United Kingdom,K02000001,2020-05-14,2630,223579
overview,United Kingdom,K02000001,2020-05-13,3306,220949
overview,United Kingdom,K02000001,2020-05-12,3399,217643
